stemmed_tweet,label
aku baru rasa apa jatuh cinta aku bisa henti aku bisa henti diri selalu dekat mu,love
rada kesal sama tamu minta kasih discon okey gua kasih gilir mau lebaran lu pd kabur semua anjir gua ajar tega kayak,anger
astaga,shock
batrei hp juga tinggal 23 kalo hp mati pacar bingung cari eh nyata gak punya pacar ding hmm makanyakasian kan kak udah jomblo listrik mati gigit nyamuk plis nyala dong nyala,sadness
kamu ee gimana cebok rajin ga kamu jorok ga,disgust
gw ga nyangka bakal ketemu halhal begini umur gw sekarang padahal dulu perkara cinta cuma sekadar aku udah ga cinta sama kamu sekadar perkara seruseruan aja makin dewasa gw ngerasa banyak yang lebih kompleks how far i walk on this path,shock
sebenernya orang kepala daerah jadi presiden wapres arti amanah lebih besar beda dgn jokowi jokowi maju 2014 pdip gerindra sepakat dukung jokowi lewat janji batu tulis jadi maju jkw,anger
mau jalan kaki luar kosan takut kena jambret mau nenteng kamera handphone alhasil gabut dalem kamar sendiri laptop kue basah beri kamar tetangga baladaanakdaerah,fear
jijik anat nak angkat call jijik tau tak jijik,anger
jam 9 malem bioskop cuma dua doank pas lampulampu mulai dimatiin eee ujukujuk teaser coming soonnya film horor iblis jemput laaahhh jadi degdeg serrr,fear
astaga astaga indah sekaliiii thank you malam hias sama kirimankirimannya jeffsatur barcodetin jeffbarcodeth kinnporscheworldtourlnhk,shock
nih gimana kemarin beli flash sale udah bayar terus dikabarin stocknya abis emang kalo jual ngga ngecek stock dulu apa,anger
gblk kok akajwooama woiiianjeng astaga apa sih woii lah,shock
sedap wisata tinggi jakarta lihat dg jelas betapa polusi kota jakarta indonesia,sadness
mang leon singa gagah,shock
cinta benar cinta ketika sayyidina rabiah bin kaab tanya rasulullah saw apa ingin lalu pun jawab aku minta satu perkara agar teman syurga,love
gw dengerin lagu2 zayn malik dulu gw benci banget ma doi gara2 keluar 1d dah gitu gaya tengil semenjak rilis lagu pillow talk blh wqwq trus lanjut deh skrg suka dengerin lagu2nya memang terkadang manusia sering jilat ludah sendiri,love
hirotsu keren banget astaga,shock
siapa bilang pilkada panas bukti yg marahmarah krn batal jadi calon gubernur jatim,anger
patut x aq buka hati aq utk terima org tp aq takut at the end ubah hati angin x de tup2jeng2 were not meant to be together,fear
iya tuh tp mesti bikin mold bentuk panda dulu hahahaha aku pngn nya bikin marble soap nis kyk gin,happy
yaampun asli deh ga ngopi malem2 alhasil ga tidur sampe jm 4 pagi trus jam 6 udah bangun dan ga merem sampe sekarang padahal mata berat ga ajak merem jugaaa,sadness
lebih takut tinggal mati sama orang2 sayang sih,fear
astaghfirullah dippii aku ga nyangka bangey,shock
rasa campur aduk aseli neng sedih ga nyangka kalo bisa balik,shock
kondisi paling sulit diam takut musuh bila kita berkatakata kita takut singgung perasaanya,fear
ingin utk beli itu ketika henti krn 1 kalimat emang punya duit cuma nyokap doang yg ngomong gitu krn gmn ea kan beli pake uang jajan siapa,sadness
this bitch really got no bitches eh nder lu tau kalau novel isi lebih jorok ketimbang lb banyak jual buka tahun,disgust
ga nyangka,shock
well nyata yg punya bal nature lumayan awet bau td sore iseng usap2 tangan trus ditempelin bantal ku tinggal pergi jam 2 jam ehh bau ninggal lumayan alternatif untuk yg sering wahing kena farfumm,happy
jorok ih pepek pepek,disgust
allah menang gw nang banget gw gak gw minjem bahu siapa buat air mata gw malem astaga gw udah gak kuat,shock
aku cinta bangettt sama dd terus chuchu aku tungguin hari video tambah si dundun mirip kucing aku jadi makin cintaaaa,love
palembang uji coba venue utk asi games jakarta kapan to gubernur yg elo elo banggain duh sing penting islam gawean ra kelar pikir keri,anger
bukan pancasila milik semua wni sejak orde baru kuasa sekarang ada dua golong yang tolak azaz tunggal pancasila,anger
aku masuk orang habis pikir orang anggap wajar sebut justru salah via vallen anggap lebay nama leceh bentuk apa pasti sakit tidak peduli jenis leceh apa,anger
apa jahat bgt kata2nya aku baca doang nyesek njir astaga,shock
uang candu bikin hepi kalo punya banyak banyak apa nggak pernah bikin rasa cukup makin banyak uang ingin jadi lebih banyak lebih mahal,fear
bangun infrastruktur buat rakyat rasa hadir negara hidup tak karena kerja nyata pak lama 3 5 tahun perintah depan 2019tetapjokowi 2019tetapjokowi 2019tetapjokowi 2019tetapjokowi 2019tetapjokowi 2019tetapjokowi,happy
ct caratss aku takut deh gaada temen pas masuk kuliah soal tadi pas aku wawancara kayak yg itu udah sama temennya aku coba nanya ngobrol mereka nya gitu aku gimana dong carats,fear
wkwkwk iya hoki tahun kepake astaga,shock
ajar agama yg tuntas jd nga ngarang hidup isa disebut2 alquran trus lu mau jelek2in isa baca alquran ga,anger
main aja dr maghrib sampe subuh bodo tp jangan lupa kosongin jadwal konsisten lg ngomong doang gampang laks ngelakuinnya susah emang makanya coba aja awal susah ntar kl udah biasa tagih,sadness
km wanita dewasa alias pikir nya jorok,disgust
luas aku asih untuk kamu entah mana ini sehat bahagia selalu tuhan,love
sy kira saat beliau perlu learning experience dulu lah biar betul matang jadi bupatiwali kota gubernur baru capreswapres usia muda indonesia tdk jadi coba2,fear
dulu pernah ajar klo udah suka sama orang susah buat liat jelek klo udah kesel yah kesel aja sekarang kaya hampir semua kaya gtu rakyat mulai bisa apresiasi pimpin pimpin benci juga balik,sadness
yahoo pre order tutup yaa terima kasih banyak sudah jajan produk hyou aku sangat haru ga nyangka bakal banyak jajan huhu aku bakal update terus progress produk sini,shock
ini hampir 2minggu ini layan yg ikan langgan setia jangan minta dm dm percuma kalo gak lanjut nya sama sama lah bahas timeline yg ngurusin dm udah kagak bener lama bales nya,anger
aku kenal udah nikah tu anak listrik mantan temenku sih uda punya anak ku mas nunggu wisuda emang uda masa nikah begimana si yak,sadness
kenang sma tiap pulang sekolah pulang minta uang temen2 cewek masing2 ribu bilang buat bensin malah nyasar warung nongki beli udud hahahahah,sadness
politis oposan jokowi kata bangun jalan2 tol rupa hasil otak kosong lupa juta mudik lebaran nikmat mudik lebih cepat terima kasih jokowi rupa calon potensial pilih jokowi 2019 dia berfikir,anger
gak nyangka banget njing temen bang udah nikah gendong debay shock berat terussss aku sini mas nyelem buat nyari au,shock
citacita kecil tani lulus sd dokterapoteker lulus smp perawatpsikiaterfashion desaigner lulus sma ahli gizidesainer interiorahli desain grafis lulus kuliah semua cita cita kabul,happy
tuju bgt sama ko ernest telah beberapa bulan baca story ignya catwomanizer nyata banyak bgt perempuan sama laki2 yg gaberani ngomong kalo leceh jatohnya jadi trauma umur hidup lho nyata nyata bukan rekayasa rem bayanginnya,fear
bikin sedih gabisa konsekuen tidak lebih sayang bikin rindu intensitas komunikasi gak nyangka org yg selalu sisi ubah dlm kejap mata,shock
astaga ngucap kamu by,shock
bukan gimana ga nyangka sutsujin panggil aja hehe,shock
aku ingat saling canda tertawa kisah kita tulis carik kenang paling harga kau aku sama satu kata cinta sayang lagilagi semua hanya kenang tak mungkin ulang terimakas,sadness
well prince charles bilang waktu george pertama kali lahir neng banget usaha jadi kakek yg baik soal dulu ngerasa kurang ngejaga william beliau sering ngajak george buat tanam bareng gitu pokok sayang banget d,love
wht gua beneran gak nyangka lu sama itu,shock
gak lah ngapain sih orang kmrn sdh studi banding mamarika tuh hasil udh kliatan kan bakal jalut becak way,anger
nyepi 2 tahun lalu ngisi ukur baju banjar m tahun lalu l gak nyangka tahun udh naikin jd xl,shock
my god sesuai sayang malah lebih bagus punya aaaaaaaaa anak kitaaaa d nang bahagya,happy
ngerasain bahagia yg sederhana gw pribadi ngeliat orang2 sekitar gw ikut ngerasain bahagia sama lagi gw jalanin orang ga pernah bahagia sih se good vibes ngejalaninnya thanks god,happy
dunia maya tadi liat ig ngeri euy video mana ngedamprat cewek badan gede gempal yg seruduk g ngelawan,fear
tidak malah lebih pilih cerita baru lebih banyak waktu izin untuk tau mana tinta habis sampai mana buku akan tutup tepat beberapa hari lalu buku tutup saya harus gegas pamit,sadness
apa sih mau bri dari tadi mau transfer bank via bri mobile begini terus serius gak sih layan konsumen,anger
iler bau banget sampe kayak bau2 busuk ngga nder,disgust
gue geli bgt ma anjir jorok bgt cuah cuih,disgust
memang childish alias kekanakkanakan dekat bego yg overacting ajar dulu undang2 jadi jabat jangan malu dong tanggap nyata sandiaga uno pakde karwo kritik saran jabat negara lewat mendagri,anger
mandang fiksinyata siapa sih astaga coba lu baca seluruh tweet balasbalasannya cerna ah balik sini mulu,shock
hari pertama tanpa aku benar2 rasa sepi minggu pertama mulai kangen bulan pertama mulai timbul rasa ingin milik d kangen kamu,sadness
ian retweet apa astaga wkwkwkw banyak anak kecil hei,shock
ribut masalah via vallen kenapa sih gamau nyinyir gua mah jadi orang main sepak bola bla bla bla eh gausa d ss kali coba aja klo yg nge dm orang biasa pst ga bakal bla bla bla nyinyir apa bau anyir nying,anger
ngantuk astaga,shock
nang mewek gak karuan gegara galau pulang apa enggak akhir gue mutusin tuk gak pulang kasihan emak ayah gue mudik mahal cooy,sadness
sedih tuh sedang ga tempat sampah jadi nyampah aja twitter maaf followerku btw aku bingung deh tadi nimbang 436 trus pup 2x abis turun jadi 42 ini timbang yg labil apa gimana,fear
trend minta pasar diri mau sih jadi influencer baik karen suka main game ken influence orang orang beli game original saya takut ngomong depan kamera,fear
gausah obsesi punya pacar gapenting 17 taun santai ajaaaa dd kalo kamu gamau ninggalin malah cowok2 lebih baik gada bisa deketin kamu mba d,happy
astaga bahkan bstation suruh premium wkwkwk,shock
alhamdulillah prof bicara malam adem rasa moga bawa berkah aamiin yaa rabbal aalamiin,happy
duh keren n matap ama dulur2 yg tiada hnti utk sayang bumi smoga tular daerah antero nkri,happy
hbd to cuk thank you udh dm gue sksd duluan 4 tahun lalu gak nyangka bgt kenal online karna mewgulf skrg jd bestot neng kan lu temenan sama gue btw doa semua yg baik yg dicitacitakan bs capai 2023 healing brg thai yuk bs yuk,shock
wkwkwkwk sama kek fb ku astaga alay betul aku dulu tu,shock
alhamdulillah akhir kumpul sayang semua moga ad wkt yg temu semua aamiin indramayu punya,happy
banyak bilang milih sopir mobil bener bisa bawa masuk jurang lah kamu mau disopirin sama orang hafal 30 jus apa sama orang yang punya sim a jam terbang tinggi,anger
jangan gantung untung senang tidak happy hidup gantung kerja keras tulus mahakarya lagu suka biar ga malesmalesan,happy
semua hancur ketika dengan buah foto pada akhir aku tidak paham arti foto sebut,sadness
yaa tdk apa2 konteks sy bkn bnr dn tdk bnr tp ini sbuah proses sempurna terus mnerus hg ke tuj bangsa yg diinginkn makmur sejahtera ol krn shrsnya smua sepakat dn konsen,happy
debat panas rocky gerung vs ruhut sitompul ros ilc indonesia lawy lewat gimana bilang jokowi kacung om diem,anger
hari adalah hari sangat sunyi bagi pagi jelang siang sore jelang malam juga balik tiada henti aku tuk pikir mu entah mengapa harus saudara apa alas tuhan aku sadar sadar cinta buta,love
gais sumpah webinarnya keren bgt gw baru tau baru ikut kali bener bener worth it anjir gila ga nyangka gw,shock
kalau memang tak niat lebih jangan terlalu baik pada takut timbul baper untuk mungkin bagi biasa bagi,sadness
me naik motor dijalam bocah bang standar me langsng liat bawah bocah bukan standar yg tp mukalo yg standar trus ketawa cabut me ye anak setan oldmoneygakngerasain,anger
astaga aurora nya kakak di jaga,shock
malah lu harus tanya ig nya langsung hapus yg punya akun dari bijak ignya pasti jangan melulu salah rezim kalau nyata bukan akibat rezim ntar masuk fitnah n,anger
mata mata mula jatuh cinta lihat lihat bayang mata kau buat jatuh jatuh terus jatuh hati,love
jorok,disgust
bukan cuma kita sering ngobrol ngereceh bareng buat riddle main tatap2an ngerjain pr kelas bareng tuker pikir gua tau sisi gelap its feels lyk i found the other side of him self beda dia gua kenal dulu,love
hari libur rencana mau nonton jurassic world kaya gajadi deh ingat kondisi yg gak fit bgt sebel rusak rencana belanga sebel akutu,anger
segala baik kita buat bagai tetes air keringat laut,sadness
somplak kak hahaha ken tak unjukin sama orang kantor usaha yakin aku soal flat earth inihhh baca alon alon mas,anger
jorok,disgust
yaelahh ente dr partai sapi kurang kelon ente junjung ente kaga punya nyali kalah sama ahok berani hadap kasus lebaran tiba jik pulang kaga peler,anger
ga usah aminin doa lu ga mustajab sama kayak orang umroh niat politik ga di qobul lu kira dngn kampanye teriak takbir sang cipta bakal ikut nyoblos mikir,anger
coba bikin pudding coba 1 salah bikin nyata yg bikin jadi jelly nutrijell coba 2 bikin lap sama jelly nyata rasa plain coba 3 bikin lap nyata nyampur karna keras apa salah dosa sayang,sadness
gak baik punya kesan jorok krn bau bawang apa sekarang emang udah geser makna,disgust
ngotak tidakusah pakai emosi egois bngst,anger
jorok,disgust
hahaha niat titip bamer doang kalo ketemu kang sayur hubung beli pasar sekali titip yg haha suami baik sekali,happy
terlalu banyak moment citra postingan ig nih ken ngapus udah posting yaudah deh biarin aja sekarang usaha tidak jadi seperti lagi,sadness
allah tuhan ku tidak kuat baca komentar via vallen akun doi sama gosip2 ig rasa mau nang aja rasa liat akun2 cowok enteng bgt nganggep masalah cewek tega julidnya,sadness
buka facebook homepage penuh ama politik buka ig liat muka orang gitu2 aja buka twitter gua ketawa2 baca twit oranghahahahaa,happy
januari banyak peluk diri sendiri orang dekat yg paling pantes diga nyangka kalo nyata lebih kuat yg gw sendiri tau love u more and more my self,shock
alhaitham artefak bau banget najis,disgust
astaga sori reply kamu tenggelam ehem oke nah tuh webnya deepl translate translator deepl translate,shock
hahahaha lucu bgt astaga,shock
syukur pacar kamu cerita kamu arti sayang sama kamu bikin pacar kamu nyaman mungkin sama kamu cara kamu sendiri jgn cemburu buta,happy
emang selangkang sm otak situ aja yg ngeress juga yg kata habib imam juga ngelakuin chat sex identitas agama jamin kamu suka sex catcalling meski udah meni yg laku simpang sex jg banyak selingkuh,anger
akun lazadut gw bau banget susah banget wangi wkwkw,disgust
iyaaa kaaaann lama pesantren semua giat tu kesan sampe skg esq sampe malem banget tp tar pas muhasabah melek lg trus jd sedih kangen org tua,sadness
sulah ku mau dari ini kau kata jujur tentang cinta sengaja kau bungkus amarah bukankah kau hasil kalah pertama kali aku jatuh cinta senyum itu akhir izin aku pinjam sekali,love
gak nyangka sdh jadi nomor 1 aja kamu sis,shock
11 awal temu sama si mantan pas wgl pertama gamau lanjut aku udah bikin tweetnya bilang makas tapi kayak ga ngerti jadi nempel terus aku yaudah deh aku jadi demen trus jadi,love
jam gin laman seliwer pengambil2 simpul kurang baca ajar harga tempat jempol belakang akalpikiran saring sblm sharing baca kaji simak dalam baru gerak jempol jgn jd tinju kelas ringan latih naik ring kelas berat,sadness
klarifikasi ustadz zulkifli m ali mmg hadits2 ttg hari akhir banyak dhaif utama yg ttg umur umat islam tp jng anggap remeh kl sy lbh baik siap dr skrg banyak amal sholeh smkn dpn smkn sulit berda,fear
meski syarat dua bucin baejin ku sayang wanna one siapa membernya janji pernah buang barang barang apa wanna one,love
min mau nanya misal salah buku pajak harus ppn tp trnyata pph minyak bumi spt gmbr brikut solusi gmn,fear
pulsa bapak kok cepat habis yaa gatau pak senyum hati karna hasil download banyak game waptrick oldmoneygakngerasain,happy
bukan karna soal susah karna soal sama persis kaya quiz p e r s i s akhir ngerjain ga sampe 30menit selesai selesai mikir baik allah sama wanda wanda sering nglanggar,happy
1 orangorang yg tempat pulau cendrawasih sumbu pendek salah salah banget jauh pkl ojt st beberapa kali instansi sih yg paling jelas orang asikasik suabar ngadepin bagai macam tipe orang mereka ahli bidang masing2,happy
hai jai aku udah baca carrd nya hehehehe n gak masalah sama sekaliiii jdi mri teman sma ak meski akun ak jorok dikit trus mmf yh klau typing ak,disgust
yah nama cinta waktu cinta banget cinta aja lumayan cinta cinta nggak mau pisah yah nama cinta siapa bisa ngeplanning besok mau ngasih cinta berapa persen doi,love
sadar kamu kalau hati papa rasa cemburu kamu mulai lebih percaya papa longgar sedikit atur keluar rumah kamu paksa untum langgar jam malam,sadness
